idinterrupcion,eps,sede,tipointerrupcion,tiposervicio,motivointerrupcion,fechainicio,horainicio,fechafin,horafin,departamento,provincia,distrito,numconexdom,unidadesuso,numcamionespuntos,inicio_dt,fin_dt,duracion_horas,mes
4ac22bdfbcbf68a4ead71b6263d9b574,SEDA AYACUCHO,HUAMANGA,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,20230301,12:00:00,20230301,15:40:00,AYACUCHO,HUAMANGA,CARMEN ALTO,120,0,NA,2023-03-01,2023-03-02,24,2023-03-01
36bf6c01c7e51a8dd9f09e78fb9dbbc8,SEDA AYACUCHO,HUAMANGA,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,20230301,11:05:00,20230301,13:15:00,AYACUCHO,HUAMANGA,CARMEN ALTO,210,0,NA,2023-03-01,2023-03-02,24,2023-03-01
d435ec5aa51043d6339703dcdffe4982,SEDA AYACUCHO,HUAMANGA,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,20230301,09:55:00,20230301,18:00:00,AYACUCHO,HUAMANGA,CARMEN ALTO,60,0,NA,2023-03-01,2023-03-02,24,2023-03-01
bf5569d3ec459025ddd696db10e23796,EPS SEDAJULIACA,EPS SEDAJULIACA,PROGRAMADA,ALCANTARILLADO,PROBLEMAS EN COLECTORES,20230215,08:00:00,20230215,08:00:00,PUNO,SAN ROMAN,JULIACA,27128,27128,NA,2023-02-15,2023-02-15,0,2023-02-01
4a47e4b507b27f48f352daed05b8c641,SEDA AYACUCHO,HUAMANGA,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,20230301,09:25:00,20230301,15:35:00,AYACUCHO,HUAMANGA,AYACUCHO,50,0,NA,2023-03-01,2023-03-02,24,2023-03-01
0bfccc190ea3488a072099b5e761b596,EPS ILO,EPS ILO,IMPREVISTA,AGUA POTABLE,OTROS,20230301,16:00:00,20230302,17:30:00,MOQUEGUA,ILO,ILO,2878,5,1,2023-03-02,2023-03-03,24,2023-03-01
9ac5ea5176a8ecd4b888417f30febe7c,EPS SEDAJULIACA,EPS SEDAJULIACA,PROGRAMADA,AGUA POTABLE,MANTENIMIENTO DE REDES SECUNDARIAS,20230301,04:00:00,20230310,04:00:00,PUNO,SAN ROMAN,JULIACA,63145,63145,0,2023-03-01,2023-03-10,216,2023-03-01
d37637030edbccd49ad8dca6059ec1b0,EPS ILO,EPS ILO,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,20230301,11:40:00,20230301,16:00:00,MOQUEGUA,ILO,ILO,1492,0,NA,2023-03-01,2023-03-02,24,2023-03-01
a68eb95f9c09613e60175a23c5e01903,SEDAPAL,CALLAO,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA POR TERCERO,20230301,16:10:00,20230301,22:30:00,CALLAO,CALLAO,VENTANILLA,1789,1912,NA,2023-03-02,2023-03-02,0,2023-03-01
8c0854ac8de6be2408485135a40a637c,SEDAPAL,COMAS,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,20230301,15:30:00,20230301,20:00:00,LIMA,LIMA,SAN MARTIN DE PORRES,45648,69346,NA,2023-03-02,2023-03-02,0,2023-03-01
27f9ad559ffd0039eda0826e67d91487,SEDAPAL,BRENA,PROGRAMADA,AGUA POTABLE,EJECUCIÓN DE EMPALME,20230310,10:00:00,20230310,17:00:00,LIMA,LIMA,SAN MIGUEL,2286,2452,NA,2023-03-10,2023-03-11,24,2023-03-01
